iter	Logloss
0	0.6905720298
1	0.6884873925
2	0.6869332869
3	0.6848867206
4	0.6829189798
5	0.6813277694
6	0.6794943673
7	0.6776998867
8	0.6760970754
9	0.6744521801
10	0.6725982488
11	0.6709498764
12	0.6697578722
13	0.6679448033
14	0.6667042795
15	0.6655086999
16	0.6639330498
17	0.6624520755
18	0.6612426161
19	0.6596911469
20	0.658635185
21	0.6573045873
22	0.6563551796
23	0.6548648274
24	0.653764848
25	0.6523198938
26	0.6508938362
27	0.6495136603
28	0.6481649098
29	0.6470998484
30	0.6459844578
31	0.6449706177
32	0.6437146599
33	0.6422412191
34	0.6412177401
35	0.6402305614
36	0.6394202761
37	0.6384221236
38	0.6372984843
39	0.6363893859
40	0.6353226272
41	0.6341360551
42	0.6332070548
43	0.6321298823
44	0.6311753246
45	0.6303543792
46	0.6293826156
47	0.6286239069
48	0.6274788809
49	0.6265062183
50	0.6256382813
51	0.6250421212
52	0.624111771
53	0.6235375137
54	0.6227134643
55	0.6218664691
56	0.6211432197
57	0.6202511418
58	0.6192165762
59	0.6183949621
60	0.6176788551
61	0.6170003476
62	0.6162051126
63	0.6157359406
64	0.6152688107
65	0.6144724542
66	0.6136386599
67	0.6129637656
68	0.6122770472
69	0.6114132778
70	0.6109835209
71	0.6104577363
72	0.6097383454
73	0.6092713256
74	0.6085385134
75	0.6079116579
76	0.6073202698
77	0.6068113818
78	0.6061593867
79	0.6057003185
80	0.6052054501
81	0.6044882929
82	0.6038392015
83	0.6033252425
84	0.6027160538
85	0.6022613208
86	0.6017055013
87	0.6012034547
88	0.6005670693
89	0.5999265085
90	0.5994437184
91	0.5988970553
92	0.5984369225
93	0.5978591432
94	0.5974289137
95	0.5970588813
96	0.5965960861
97	0.5962406709
98	0.5955813424
99	0.5950276335
100	0.5946187106
101	0.594012828
102	0.5936366831
103	0.5933972433
104	0.5929291207
105	0.5923972932
106	0.5919212669
107	0.5915856452
108	0.5911343425
109	0.5907473499
110	0.5904410224
111	0.5899324136
112	0.5894787085
113	0.5890705301
114	0.5886140261
115	0.5879593647
116	0.5875376635
117	0.5872017006
118	0.5868169156
119	0.5863362352
120	0.5859057702
121	0.5854489867
122	0.5849151763
123	0.5845044038
124	0.5839150239
125	0.5834826595
126	0.5831066014
127	0.5825162586
128	0.5821827495
129	0.5818381275
130	0.5813430813
131	0.5808909292
132	0.5806163242
133	0.5802611841
134	0.58002012
135	0.5795108896
136	0.5790145442
137	0.5787664984
138	0.5783834573
139	0.5780532787
140	0.5777274713
141	0.5774236047
142	0.5770903617
143	0.5767787813
144	0.5764422375
145	0.5760162249
146	0.575683628
147	0.5754128702
148	0.5751315755
149	0.5748078439
150	0.5743615057
151	0.5739983205
152	0.5737029175
153	0.5733676739
154	0.5730686262
155	0.572808147
156	0.572471352
157	0.5719949329
158	0.5716784555
159	0.5711024039
160	0.5707888571
161	0.5703937552
162	0.5700187436
163	0.5697292168
164	0.569469897
165	0.5690389074
166	0.5686733135
167	0.5684023701
168	0.5681578862
169	0.5678673697
170	0.5674497134
171	0.5670461242
172	0.5666864671
173	0.566465085
174	0.5661875772
175	0.5659158531
176	0.5656591469
177	0.5653465244
178	0.5649328899
179	0.5646719772
180	0.5643880019
181	0.5640471455
182	0.5637347048
183	0.5634517776
184	0.563020854
185	0.5626258932
186	0.5623222411
187	0.5618358443
188	0.5615101684
189	0.561164398
190	0.5608610711
191	0.5605441531
192	0.560337914
193	0.5600168292
194	0.5597706692
195	0.5593745932
196	0.5589709346
197	0.5586407664
198	0.5583574737
199	0.5580492913
200	0.5578086966
201	0.5575116577
202	0.557066581
203	0.5567817232
204	0.5564756644
205	0.5562651314
206	0.5559585823
207	0.555746318
208	0.5555254185
209	0.5553164575
210	0.5550355051
211	0.5546650332
212	0.5544793884
213	0.5542338469
214	0.5540005362
215	0.5538215569
216	0.5535126532
217	0.5531946982
218	0.5528747986
219	0.5525576773
220	0.5523404441
221	0.5519222963
222	0.5516017861
223	0.55137921
224	0.5511307454
225	0.5509212506
226	0.5506911658
227	0.5504098161
228	0.5500016562
229	0.5497572488
230	0.5495473349
231	0.5492267832
232	0.5488901498
233	0.5486008519
234	0.5484282787
235	0.5481125784
236	0.5478398349
237	0.5476682667
238	0.5473201429
239	0.546966288
240	0.546642016
241	0.5463357052
242	0.5461749511
243	0.5458486705
244	0.5456510705
245	0.5454313206
246	0.5451842455
247	0.5449755199
248	0.5445745118
249	0.5442661836
250	0.5439501703
251	0.5436131807
252	0.5433853844
253	0.543133318
254	0.542905608
255	0.5425305644
256	0.5421859311
257	0.5419600688
258	0.5416854204
259	0.5414050134
260	0.5410603949
261	0.5407897156
262	0.5405505174
263	0.5403788979
264	0.5400517761
265	0.5397754164
266	0.5396186455
267	0.5392760188
268	0.5390253537
