iter	Passed	Remaining
0	11	6862
1	24	7202
2	36	7361
3	50	7513
4	64	7722
5	77	7709
6	90	7680
7	104	7698
8	117	7715
9	130	7702
10	143	7700
11	157	7718
12	165	7489
13	179	7503
14	192	7517
15	207	7556
16	221	7587
17	235	7608
18	250	7645
19	264	7656
20	278	7675
21	292	7692
22	306	7694
23	320	7702
24	334	7694
25	348	7703
26	362	7695
27	375	7680
28	389	7669
29	402	7654
30	416	7644
31	429	7619
32	442	7602
33	455	7576
34	468	7559
35	481	7542
36	494	7529
37	507	7509
38	520	7493
39	533	7475
40	547	7461
41	560	7445
42	572	7419
43	586	7407
44	598	7385
45	611	7369
46	625	7356
47	638	7345
48	652	7334
49	665	7318
50	679	7309
51	691	7288
52	705	7281
53	718	7267
54	731	7246
55	744	7232
56	757	7219
57	771	7205
58	784	7191
59	797	7178
60	810	7162
61	823	7144
62	836	7127
63	849	7111
64	861	7090
65	874	7079
66	888	7068
67	901	7056
68	914	7039
69	929	7035
70	942	7021
71	955	7004
72	968	6992
73	981	6978
74	995	6967
75	1009	6963
76	1024	6960
77	1038	6946
78	1051	6934
79	1064	6919
80	1077	6906
81	1091	6893
82	1104	6877
83	1117	6863
84	1130	6847
85	1142	6829
86	1155	6814
87	1168	6798
88	1181	6784
89	1196	6778
90	1209	6764
91	1222	6751
92	1236	6738
93	1249	6727
94	1263	6716
95	1277	6705
96	1291	6697
97	1305	6688
98	1319	6676
99	1333	6665
100	1346	6650
101	1360	6640
102	1373	6626
103	1386	6613
104	1402	6610
105	1417	6604
106	1433	6606
107	1451	6613
108	1472	6631
109	1489	6635
110	1507	6639
111	1529	6662
112	1551	6687
113	1570	6693
114	1588	6698
115	1606	6701
116	1620	6691
117	1635	6679
118	1651	6675
119	1667	6670
120	1681	6657
121	1695	6643
122	1709	6629
123	1722	6611
124	1735	6596
125	1749	6580
126	1762	6563
127	1775	6547
128	1788	6530
129	1801	6514
130	1815	6499
131	1828	6482
132	1841	6465
133	1854	6450
134	1867	6433
135	1880	6417
136	1894	6400
137	1906	6383
138	1919	6366
139	1932	6349
140	1945	6333
141	1958	6316
142	1971	6301
143	1984	6284
144	1997	6267
145	2011	6253
146	2024	6239
147	2037	6222
148	2050	6205
149	2063	6189
150	2076	6173
151	2090	6161
152	2104	6147
153	2118	6134
154	2131	6119
155	2145	6105
156	2159	6094
157	2175	6084
158	2189	6072
159	2203	6059
160	2218	6048
161	2233	6038
162	2248	6028
163	2263	6016
164	2278	6006
165	2292	5994
166	2307	5981
167	2320	5967
168	2334	5954
169	2348	5941
170	2363	5929
171	2377	5916
172	2391	5902
173	2405	5889
174	2418	5874
175	2432	5860
176	2447	5847
177	2461	5834
178	2474	5819
179	2487	5804
180	2501	5790
181	2515	5776
182	2528	5762
183	2542	5747
184	2559	5740
185	2574	5729
186	2588	5715
187	2603	5704
188	2616	5690
189	2631	5678
190	2646	5666
191	2661	5654
192	2675	5641
193	2690	5629
194	2705	5618
195	2718	5604
196	2734	5593
197	2749	5581
198	2764	5571
199	2779	5558
200	2793	5545
201	2807	5531
202	2821	5517
203	2835	5503
204	2848	5488
205	2861	5472
206	2874	5457
207	2887	5441
208	2900	5425
209	2912	5408
210	2925	5393
211	2938	5378
212	2950	5361
213	2964	5347
214	2978	5333
215	2992	5319
216	3005	5305
217	3020	5293
218	3034	5279
